Propidium Iodide PE-A,Alexa-647 APC-A
308704.0,10342.2001953125
297706.0,7118.2998046875
301545.09375,9440.7998046875
292313.40625,7764.0
287267.6875,7108.60009765625
302870.8125,8160.7998046875
294980.6875,8970.7998046875
306585.6875,8209.2998046875
296685.90625,7557.10009765625
297312.59375,10688.7998046875
288350.8125,8520.099609375
304698.8125,10130.099609375
289948.09375,7549.60009765625
304210.3125,10682.2001953125
308439.90625,10962.7001953125
285077.6875,7627.0
300917.09375,8868.0
307122.8125,9173.099609375
289828.09375,8096.2998046875
304217.09375,8575.0
297328.3125,9334.599609375
303192.0,10128.2998046875
287142.90625,7344.7998046875
287035.3125,7382.2998046875
297296.8125,9959.7001953125
296187.1875,7187.2998046875
296208.3125,7758.7998046875
301687.09375,7701.60009765625
303486.5,9943.5
303949.40625,8395.900390625
305971.1875,11882.7998046875
286134.09375,6960.60009765625
299369.0,7770.7001953125
293782.6875,6909.5
309186.1875,9651.2998046875
306607.6875,10251.5
298157.40625,7884.7001953125
290001.3125,8031.7001953125
306402.6875,8443.7998046875
306299.0,10913.7998046875
295070.40625,6149.0
286973.8125,9181.2998046875
287619.1875,7168.0
306351.09375,10122.7998046875
307707.59375,10912.0
294108.09375,10730.099609375
291423.0,8072.7998046875
290916.0,7111.60009765625
296217.1875,9020.400390625
305158.09375,9053.2998046875
297404.1875,6957.2998046875
293717.09375,6469.60009765625
307598.09375,11350.599609375
301251.59375,8995.0
294039.0,8890.5
310912.0,10482.2998046875
288788.09375,8218.099609375
303481.59375,9060.7998046875
299121.09375,7818.10009765625
295433.0,8989.7998046875
288777.90625,9505.7001953125
307727.3125,10070.599609375
302739.59375,8598.5
308348.59375,8066.5
292641.6875,7387.0
297959.3125,11497.7001953125
304185.8125,8833.099609375
293131.8125,6765.10009765625
305413.3125,8241.7998046875
296317.09375,8002.2001953125
309076.6875,11097.7998046875
292566.0,7696.10009765625
293923.09375,9854.900390625
300286.59375,7991.60009765625
293865.1875,9365.0
296066.6875,9495.099609375
301018.3125,9018.0
306232.1875,11653.7998046875
298014.5,8352.599609375
292706.0,9208.2001953125
297903.5,7918.60009765625
289381.1875,8108.60009765625
295475.6875,8000.0
286829.8125,7433.0
287831.40625,8468.2001953125
308879.8125,10801.2998046875
299799.40625,10674.099609375
305408.90625,9956.7001953125
309743.40625,8653.7998046875
305632.09375,8623.2001953125
285975.6875,8418.2001953125
292662.1875,7983.39990234375
300653.3125,10315.2998046875
293700.1875,8653.2998046875
300175.6875,8646.099609375
298462.3125,7541.2998046875
293517.6875,6300.60009765625
293372.09375,8046.10009765625
287065.6875,8396.099609375
305163.90625,9675.099609375
287982.3125,8216.900390625
291666.5,8765.7001953125
294311.40625,9008.7001953125
291570.90625,9901.400390625
289658.8125,8787.900390625
302959.8125,8673.7998046875
307352.90625,8558.400390625
299315.3125,8657.099609375
299117.8125,11728.099609375
286365.40625,7751.7001953125
295224.0,10706.099609375
298937.3125,10111.0
303613.40625,10045.7001953125
287352.40625,8261.400390625
308219.90625,8889.2998046875
310890.6875,9890.0
300369.1875,10092.099609375
299371.8125,9179.599609375
295670.09375,9594.2998046875
305144.8125,10542.0
289317.0,7585.7001953125
298955.6875,9071.400390625
289308.5,8139.39990234375
294413.1875,8379.2998046875
284417.0,7855.10009765625
305982.8125,9722.599609375
305837.8125,8276.2998046875
286154.90625,8364.5
298828.5,10832.900390625
309646.1875,8996.5
305140.5,10544.0
307106.0,10518.2001953125
301188.40625,7602.7998046875
291819.8125,9141.7998046875
284941.6875,7894.5
298984.5,7429.10009765625
293328.0,9134.2001953125
292602.59375,11185.2998046875
283690.3125,7959.60009765625
287816.40625,10054.2001953125
300546.59375,7954.2998046875
292098.90625,8155.2001953125
299948.6875,9660.599609375
291374.3125,11026.599609375
294679.59375,11136.0
310643.3125,10503.7001953125
290800.40625,8981.7001953125
305099.0,9364.2998046875
284946.09375,7127.7998046875
290022.5,10780.2001953125
296053.3125,6977.10009765625
310164.40625,9960.7001953125
295135.09375,7991.5
293569.5,7686.89990234375
305535.40625,11569.099609375
299025.40625,9990.599609375
288020.59375,6916.2998046875
290422.09375,9422.400390625
304146.0,7905.2001953125
310299.3125,8345.0
295215.59375,9952.7998046875
308565.0,9192.2001953125
298929.40625,8218.7001953125
290341.5,9076.0
292403.3125,8086.7998046875
292012.40625,10540.099609375
297140.3125,10838.400390625
300083.09375,7836.0
300304.0,9078.900390625
291120.40625,8809.099609375
292599.0,11161.900390625
294738.1875,8018.7001953125
294452.0,7665.10009765625
295059.90625,7843.7001953125
299474.3125,9295.0
286481.0,7079.10009765625
293041.8125,9034.400390625
292686.59375,9449.099609375
306804.90625,9511.7001953125
298637.6875,8957.599609375
310236.0,9850.2001953125
291653.3125,9872.099609375
294659.8125,8139.39990234375
286609.40625,8363.2998046875
293977.09375,7501.5
293976.59375,7456.60009765625
295423.5,6943.7001953125
292861.90625,8684.7001953125
299696.90625,9295.7001953125
290832.90625,8265.7998046875
303869.09375,11624.400390625
299773.3125,8698.099609375
308411.1875,11681.2998046875
286258.0,8955.2998046875
302573.8125,7262.0
305248.59375,7951.2001953125
303335.90625,8923.5
289915.59375,8038.0
302285.90625,7628.89990234375
306856.59375,10220.2998046875
296625.09375,9595.900390625
286065.3125,9328.7001953125
289586.3125,7993.7998046875
311100.59375,9898.7001953125
306588.0,9005.7998046875
295651.59375,8294.0
302201.1875,9214.0
295843.6875,10255.7001953125
297338.09375,9019.7998046875
305562.1875,10211.7001953125
302638.0,7885.7001953125
305412.59375,9257.400390625
310568.3125,8593.0
305239.90625,9097.400390625
284323.90625,8260.2001953125
288697.3125,7712.7001953125
298079.40625,7392.7998046875
296323.8125,7413.60009765625
297190.1875,8498.599609375
294866.8125,9192.5
298163.40625,7226.60009765625
307088.40625,8674.7998046875
300784.1875,9701.5
297789.90625,11111.7001953125
294243.90625,7718.2998046875
292731.90625,8392.5
288706.8125,6931.2998046875
303698.3125,11144.5
285838.0,8719.599609375
291755.40625,10931.7001953125
286143.6875,8502.2001953125
290786.8125,7258.2001953125
285741.90625,7737.7001953125
309093.59375,11382.2998046875
302148.5,11029.2998046875
297958.09375,9126.0
297330.59375,8933.7998046875
287133.59375,7529.5
302581.0,9289.599609375
308607.90625,10103.5
297096.59375,11498.7001953125
290514.1875,7742.7001953125
284969.59375,8427.0
305276.90625,8278.900390625
297070.8125,7767.7001953125
302417.90625,10256.400390625
297864.40625,7690.89990234375
295126.3125,8213.0
298894.1875,7437.7998046875
303064.09375,10834.5
301451.09375,8727.7998046875
292746.59375,7700.5
305183.5,8472.2001953125
284833.90625,8414.7001953125
296461.5,7302.5
300432.5,9291.2001953125
292055.59375,7775.60009765625
298847.3125,9582.099609375
308254.8125,8529.599609375
291027.3125,9160.5
307312.8125,11801.900390625
304766.3125,10430.5
288939.09375,7925.60009765625
298045.0,8767.2001953125
294485.09375,9523.400390625
295668.6875,7316.7998046875
291567.3125,7289.39990234375
292986.6875,8437.900390625
297970.0,7573.10009765625
286535.40625,7385.2001953125
294681.3125,9706.400390625
295099.5,7767.7998046875
303984.6875,8666.5
300590.0,8613.7001953125
289683.3125,7968.39990234375
290132.5,9482.7998046875
294607.1875,9045.400390625
295452.0,8162.0
297034.1875,10189.0
304070.1875,8670.099609375
307774.0,9072.099609375
307205.09375,10841.099609375
292197.8125,9090.400390625
293373.6875,8020.5
296655.0,8529.7001953125
290642.5,7925.5
290415.8125,9301.599609375
306307.0,8565.099609375
295379.3125,9329.099609375
291941.6875,7433.89990234375
293855.59375,8202.5
299635.0,8711.599609375
300068.0,7345.7001953125
301858.3125,7628.0
298659.59375,7680.5
304713.0,10884.2998046875
293046.1875,7426.7998046875
309056.6875,11008.2998046875
297889.5,9691.0
304377.1875,8778.0
310264.6875,9544.5
286447.59375,9336.7998046875
298836.8125,8232.7998046875
295540.59375,7618.60009765625
305717.1875,9704.0
294278.1875,8301.0
310885.59375,12072.2998046875
296531.3125,8206.2998046875
292432.3125,9076.599609375
285617.1875,7151.10009765625
286106.09375,7654.2001953125
299820.0,7956.5
287684.6875,7436.10009765625
300808.6875,8733.0
299642.3125,10173.099609375
300330.6875,7947.60009765625
291564.6875,8967.0
298272.59375,7682.7998046875
298977.90625,7767.0
298507.59375,9048.0
289468.6875,7688.89990234375
299424.8125,8009.89990234375
293467.5,9430.2001953125
296360.09375,7884.10009765625
305147.8125,10891.7998046875
300912.40625,8691.5
290508.3125,7189.2998046875
300198.09375,8185.7998046875
298227.59375,8559.099609375
288535.59375,7857.2001953125
287256.40625,9224.0
293839.59375,8197.900390625
296659.90625,9272.0
286604.09375,8320.7001953125
296401.1875,8088.2001953125
290320.6875,9717.900390625
287403.1875,8444.2001953125
301700.09375,8598.099609375
301541.09375,10007.599609375
307331.59375,8803.7998046875
297796.09375,9602.2998046875
296780.3125,8000.2998046875
292087.90625,9475.5
308209.40625,11988.400390625
305164.0,8958.599609375
292607.59375,9612.0
307687.0,11386.900390625
302948.3125,8388.5
309450.8125,8711.400390625
306133.09375,7737.10009765625
308402.1875,10823.5
296330.0,9109.2001953125
286318.40625,7191.7998046875
298605.1875,7037.2001953125
303799.09375,9439.2998046875
294697.6875,7923.7998046875
288412.6875,8346.7998046875
284393.6875,7723.7001953125
296725.90625,8095.2001953125
292391.3125,8393.900390625
290771.3125,8014.7998046875
299338.3125,9213.400390625
286919.8125,8773.2998046875
295851.90625,8560.0
308838.40625,9689.0
298598.6875,9623.7001953125
305495.3125,9771.400390625
290191.6875,8226.7001953125
286547.1875,7464.60009765625
306269.09375,8136.89990234375
291096.0,8537.0
303225.09375,11540.2998046875
291492.59375,8916.2998046875
285715.40625,7515.7001953125
293136.1875,8773.2998046875
296528.0,7913.10009765625
286177.0,7378.10009765625
302721.8125,11013.7001953125
299462.09375,8739.5
286522.3125,7684.7998046875
308402.8125,8574.7998046875
302027.40625,11150.5
300038.0,10525.599609375
302238.6875,8343.7998046875
302048.59375,9710.0
304832.6875,9862.599609375
300699.1875,11055.099609375
295756.6875,8968.7998046875
300567.1875,9674.5
310412.0,9450.2998046875
292515.6875,9274.7001953125
298082.1875,10911.400390625
296414.0,7196.39990234375
307652.3125,10825.7001953125
291645.1875,8501.0
298979.1875,9286.900390625
296327.5,9101.2998046875
296130.09375,9997.5
289519.59375,10168.2001953125
285987.5,7089.0
299597.0,9351.5
292356.3125,8109.0
286476.3125,7700.7998046875
288464.5,9081.599609375
286670.59375,7907.5
298676.40625,10018.7001953125
295886.5,9878.5
305786.8125,9675.2998046875
287014.3125,9170.7001953125
298561.90625,9642.2001953125
295918.5,9149.0
296659.09375,10384.0
311070.90625,10884.599609375
304160.5,8968.599609375
299006.6875,9821.7998046875
307010.6875,8441.2998046875
311028.59375,9979.0
291572.40625,11242.7998046875
294490.6875,11516.2998046875
290397.6875,8615.0
306880.0,11071.7998046875
294867.3125,10779.099609375
288766.5,8434.400390625
309536.90625,10785.599609375
286825.59375,9644.599609375
303570.40625,11247.099609375
307995.0,10207.900390625
293960.0,10917.099609375
306660.8125,8953.7001953125
304406.1875,10576.2998046875
297186.40625,10733.0
302641.0,11741.5
291252.90625,9176.099609375
290175.6875,7598.7001953125
303152.6875,8381.099609375
291151.8125,9009.0
303691.8125,8275.7001953125
296602.3125,8112.10009765625
295641.09375,10344.900390625
290651.1875,9964.0
297439.59375,6937.2998046875
286736.09375,8811.599609375
293519.0,10234.7001953125
306116.8125,8271.400390625
299523.6875,7596.0
295427.3125,8577.0
302092.6875,8792.2001953125
298664.3125,9952.7001953125
299739.6875,6945.2001953125
296409.90625,9004.599609375
305219.8125,8317.400390625
295068.09375,7827.10009765625
299020.8125,9045.0
296835.90625,9162.099609375
299723.09375,9184.900390625
285514.3125,8243.0
288063.90625,6768.7998046875
284531.3125,7952.0
307396.1875,9429.7001953125
288310.5,7642.2001953125
286487.3125,7888.2998046875
301986.5,8732.5
302878.09375,8508.900390625
302108.09375,8293.7998046875
291084.59375,9551.599609375
289868.6875,7282.5
294082.5,10092.5
305926.1875,9631.7001953125
306541.59375,8047.2001953125
305777.8125,7649.39990234375
295659.09375,8831.7998046875
304223.59375,10000.099609375
306620.5,9608.2001953125
307182.5,11093.2998046875
287591.09375,8169.10009765625
284821.90625,7972.60009765625
306325.3125,10765.2998046875
297046.0,9680.0
289207.6875,7930.0
300072.1875,9215.5
299191.59375,7795.60009765625
300661.5,8768.0
298272.3125,8640.900390625
310980.5,11539.7001953125
297819.59375,11634.5
303688.6875,11826.2001953125
304966.09375,7893.2998046875
294949.0,6727.0
297412.3125,9841.7998046875
291219.3125,7674.39990234375
305026.5,8535.0
306695.5,8998.599609375
296519.0,9662.0
295830.1875,11355.7001953125
299212.90625,7604.10009765625
305244.90625,9907.0
300542.59375,9963.7001953125
292779.40625,9106.2001953125
302517.5,8880.5
291553.3125,10301.099609375
311059.90625,11198.099609375
304690.1875,9052.0
294232.0,8973.400390625
304398.6875,8648.400390625
288948.8125,7150.39990234375
301775.6875,10967.7998046875
294262.90625,10406.5
297612.90625,8300.2001953125
284983.1875,7612.5
303512.1875,8137.2998046875
310878.6875,9001.2998046875
306404.1875,10071.7998046875
306123.1875,8754.2001953125
298152.40625,9486.2001953125
284938.6875,8845.2998046875
290756.0,10645.0
291152.8125,7892.10009765625
309171.3125,9719.2001953125
284866.40625,8820.099609375
299083.6875,7351.0
293173.8125,7451.5
285519.1875,7608.7998046875
294724.90625,7865.2998046875
301696.6875,10005.2998046875
310445.3125,10414.2998046875
291679.09375,8142.5
303975.09375,9149.2001953125
307805.3125,10271.400390625
305323.40625,9381.599609375
303586.5,9225.599609375
288614.1875,7949.2001953125
291248.3125,8976.2001953125
285645.3125,8904.099609375
290802.5,6973.39990234375
299141.3125,8152.5
296851.1875,9509.5
302343.8125,8238.599609375
303946.3125,9361.2001953125
285561.3125,7609.5
284599.59375,8897.7001953125
299665.8125,7643.5
285088.90625,7194.0
293031.3125,8319.0
289437.5,9155.099609375
297189.6875,9018.2001953125
298288.6875,9807.5
298511.6875,8019.7001953125
303517.5,7619.10009765625
299567.0,7526.89990234375
290347.40625,8242.099609375
300471.59375,7487.2001953125
292778.6875,6884.5
303954.6875,8129.2998046875
288867.0,7605.7001953125
293462.8125,7563.0
298365.90625,10490.0
290512.5,8139.7998046875
292721.90625,8106.2998046875
298380.90625,10367.7001953125
311176.40625,11433.7998046875
297464.90625,7591.2001953125
302033.6875,9991.7001953125
284281.1875,7541.7998046875
295253.8125,7437.0
310236.90625,11255.099609375
294060.6875,9611.5
298059.6875,8941.599609375
291796.6875,9529.2001953125
293933.8125,9070.2001953125
307785.09375,8910.400390625
302547.90625,9476.0
289064.90625,8355.400390625
304372.6875,8170.7001953125
297126.8125,9271.5
293067.90625,7900.89990234375
296364.1875,8166.0
296297.59375,9145.400390625
285850.59375,8084.7998046875
305287.3125,8240.900390625
307450.8125,9023.900390625
310483.59375,8726.0
289397.3125,7587.5
287139.8125,9282.900390625
292591.0,6792.2998046875
302117.6875,9395.099609375
302377.8125,10634.400390625
301463.09375,7888.7998046875
306256.59375,8737.099609375
303480.3125,8818.7001953125
290150.1875,8843.099609375
303530.3125,9843.900390625
302965.5,7601.2998046875
295783.40625,7063.0
297320.59375,9903.0
296913.8125,6802.39990234375
302744.40625,9873.5
295603.5,9341.400390625
291611.1875,9948.099609375
288621.90625,7517.39990234375
285591.0,7229.2001953125
300624.90625,10285.400390625
298146.6875,11037.7001953125
285513.0,8952.599609375
286158.6875,8784.2001953125
288141.09375,8552.900390625
292312.90625,9067.5
301570.90625,10212.400390625
301521.0,9347.2998046875
290536.6875,8503.599609375
293532.40625,8242.5
293861.3125,9195.599609375
284122.5,8229.2001953125
292322.09375,9335.2998046875
301177.6875,7527.7001953125
301826.09375,7516.0
291254.09375,7841.0
303739.90625,8931.099609375
291712.8125,9769.2998046875
291623.90625,9546.2998046875
286569.8125,7317.5
289065.1875,6891.39990234375
284055.90625,7719.60009765625
293388.59375,11338.7998046875
304582.09375,8841.5
309299.1875,11649.400390625
286959.8125,7672.60009765625
298724.1875,7640.0
303433.40625,9600.5
298218.0,9276.2001953125
301972.1875,10664.599609375
