Propidium Iodide PE-A,Alexa-647 APC-A
534807.375,97755.1015625
370436.3125,124476.5
330277.0,36812.6015625
411071.0,134332.40625
480710.40625,80346.0
346120.40625,89310.5
503863.90625,67620.8984375
453523.40625,174925.90625
400718.40625,100967.203125
320982.40625,60577.1015625
405458.6875,92288.203125
289646.1875,61480.5
315891.59375,47239.30078125
318144.5,41661.6015625
418618.6875,124865.796875
324439.0,62473.1015625
381558.59375,177861.703125
510244.40625,75908.1015625
351665.90625,81753.5
464127.90625,125440.6015625
524924.3125,95721.3984375
528463.0,68200.796875
377459.40625,89035.703125
414067.1875,121773.703125
324230.09375,81869.203125
534753.8125,84713.3984375
489268.1875,121827.0
535825.875,27856.400390625
404088.90625,97576.203125
541871.375,111382.5
370571.59375,125089.0
357456.09375,100277.3984375
555739.3125,29443.69921875
404575.3125,112401.296875
343572.6875,80108.796875
555971.875,37891.6015625
259198.0,22472.69921875
367235.6875,122321.796875
445542.3125,76019.3984375
426491.5,73675.796875
399189.09375,127839.0
539415.875,181241.5
357186.8125,109818.3984375
420457.40625,131522.703125
451619.8125,220982.703125
494421.59375,236531.796875
322753.1875,53384.30078125
293201.09375,165478.296875
387415.0,81596.203125
271807.8125,49045.8984375
495863.3125,40482.3984375
347839.8125,137290.0
505830.59375,73735.0
481040.0,173544.59375
371312.59375,52805.6015625
380565.1875,100459.296875
454195.59375,142184.90625
476916.8125,94396.296875
363957.3125,83603.703125
496433.1875,129477.3984375
545951.5,172558.5
499848.40625,77888.1015625
281063.5,15747.900390625
486366.90625,81304.5
538717.875,44697.0
432255.8125,87008.203125
400520.8125,128110.3984375
318837.3125,38687.8984375
578897.1875,28665.19921875
347522.3125,69424.0
469234.09375,151935.90625
438345.0,46072.3984375
316938.5,76345.6015625
327520.40625,48562.5
301738.8125,47372.8984375
495337.59375,25231.5
351101.1875,109426.203125
528012.8125,106625.8984375
461764.0,152703.296875
400109.09375,125191.796875
518325.6875,68677.296875
424893.3125,132308.09375
424926.40625,134531.90625
325000.0,69896.203125
297257.6875,31186.900390625
535308.875,281172.1875
528417.875,44926.19921875
335051.59375,45390.8984375
436531.1875,126277.796875
352565.5,122865.203125
371361.3125,127570.5
558133.125,85996.1015625
463995.40625,147305.59375
501698.6875,95512.796875
546379.125,68147.3984375
333104.0,54398.8984375
433937.90625,158440.40625
401474.0,125878.296875
362521.40625,65354.6015625
367767.0,90053.8984375
553626.5,68789.3984375
296545.90625,18158.900390625
368300.5,62816.80078125
379184.90625,129492.6015625
402740.1875,105508.203125
401833.90625,114170.8984375
506070.09375,127647.796875
312399.6875,47784.19921875
288702.8125,23419.400390625
465642.40625,151457.703125
539382.875,124286.0
537471.875,173319.703125
442688.09375,114569.8984375
543879.875,21152.599609375
507846.0,151858.703125
320130.0,63401.30078125
318389.5,54732.6015625
296093.5,16783.900390625
461436.90625,97880.3984375
314547.8125,38403.69921875
568415.875,75667.6015625
323579.8125,106467.796875
332555.5,45527.0
516940.6875,135941.40625
334610.09375,86863.703125
458454.8125,118015.8984375
521825.1875,123199.296875
295862.6875,20158.80078125
327119.90625,59463.6015625
549228.3125,90547.703125
311819.8125,87591.5
403086.59375,109655.3984375
347684.90625,91701.203125
467333.5,107481.5
318172.5,25067.099609375
578895.3125,26125.599609375
577362.5,39935.3984375
477345.59375,146694.703125
526341.3125,55773.1015625
491583.8125,98276.203125
323620.09375,31446.69921875
333729.3125,68402.796875
514127.09375,92415.796875
346036.5,77228.1015625
300466.0,24336.099609375
496579.40625,174492.203125
299063.8125,92082.796875
466340.6875,159277.59375
280724.90625,46435.80078125
513396.09375,136915.0
350010.90625,124784.296875
308188.1875,41853.6015625
455316.90625,126922.203125
465276.1875,127648.8984375
442751.5,111541.6015625
345514.90625,74552.1015625
395169.3125,75327.796875
299481.5,35369.5
369451.90625,109244.296875
421597.59375,313815.1875
356418.1875,140917.09375
313855.0,52261.69921875
397256.90625,124842.6015625
315209.5,46472.5
304803.3125,77805.5
551448.625,54364.19921875
512122.1875,74131.6015625
464005.59375,87883.6015625
554372.8125,22343.5
384365.3125,126815.296875
476626.40625,117226.5
367918.8125,71963.796875
473394.90625,124792.703125
437632.40625,153118.796875
433308.6875,123420.3984375
497571.8125,133352.703125
326213.5,52174.0
417090.09375,89707.3984375
525124.3125,203112.59375
476290.5,137053.703125
278627.90625,35292.19921875
516597.1875,89592.6015625
477277.1875,130174.1015625
491973.5,39339.0
354863.90625,41142.80078125
468916.59375,138802.703125
553678.1875,55356.80078125
422583.59375,105776.0
334334.6875,41448.1015625
535047.3125,52451.19921875
331366.6875,71586.5
549888.3125,116452.796875
452963.1875,126570.1015625
524999.0,154548.0
553593.125,100289.703125
313239.3125,46716.8984375
378213.3125,90654.703125
422029.5,114488.0
381680.8125,114745.5
320902.40625,35010.69921875
491458.40625,134015.296875
308309.1875,24627.099609375
489141.1875,102842.6015625
442394.59375,106792.703125
390232.0,114382.703125
290365.6875,36829.80078125
429653.40625,101400.1015625
274589.90625,14210.2001953125
330339.5,104715.296875
451308.09375,145226.203125
463461.09375,117661.0
333748.5,39078.5
300886.6875,31240.099609375
390704.5,132326.59375
295546.59375,53534.6015625
415306.3125,144585.5
492685.09375,142369.203125
543387.875,141196.59375
346406.3125,69799.203125
387032.09375,69431.703125
398826.8125,87283.796875
410271.0,101290.1015625
499110.40625,53054.5
503565.6875,114829.203125
428982.1875,99863.1015625
526660.6875,84481.1015625
526270.5,96961.5
414552.6875,77775.8984375
319770.90625,52671.6015625
444465.8125,92271.203125
554058.6875,29903.099609375
457595.40625,199262.203125
316389.40625,51322.80078125
276092.6875,26513.30078125
327316.59375,94159.8984375
294275.3125,101866.0
307797.40625,85189.1015625
334468.3125,88798.3984375
366000.40625,98467.5
321852.59375,59550.0
410223.1875,121476.203125
303651.40625,13969.2998046875
298898.3125,51770.30078125
331546.90625,59818.1015625
408100.59375,115432.203125
309242.1875,56336.19921875
514264.09375,127400.6015625
250455.59375,51319.30078125
519733.09375,84931.8984375
300759.5,27005.5
327711.5,144352.59375
532498.375,89890.296875
384991.8125,69171.0
538622.8125,133475.296875
488902.0,121807.0
349649.8125,75432.3984375
551457.6875,81152.296875
460328.59375,142518.40625
334753.6875,78139.3984375
417421.0,123975.1015625
516783.3125,97075.6015625
368760.5,101716.796875
493421.09375,121498.0
405048.5,123050.6015625
298654.8125,14135.5
387937.59375,130661.203125
271214.5,65916.1015625
527025.0,131441.5
412112.3125,137229.796875
414139.90625,125502.5
486533.5,127520.703125
327913.90625,68351.5
507228.8125,51407.0
298822.90625,35515.30078125
479172.6875,113120.1015625
516587.1875,57493.30078125
251074.40625,59268.1015625
534696.0,67438.296875
425681.90625,122938.796875
324546.1875,46687.6015625
392281.40625,133612.203125
269438.5,72163.703125
262997.6875,46331.80078125
298323.6875,39845.80078125
323352.40625,15321.099609375
524099.3125,85801.703125
448296.8125,89052.5
439968.09375,138357.90625
338128.40625,37282.69921875
295806.09375,27192.5
479348.09375,179498.796875
385171.8125,145594.09375
348490.8125,93794.0
393653.1875,59349.6015625
387034.3125,104360.203125
534585.8125,127214.296875
340318.09375,159965.0
301722.0,18583.0
337569.0,97849.0
492834.40625,66290.796875
317956.8125,43039.0
540020.1875,59318.19921875
466581.8125,167195.296875
358515.0,105890.203125
517541.1875,128193.6015625
270082.6875,26015.599609375
342765.0,45201.5
423568.40625,98822.796875
408279.09375,118554.703125
362946.1875,96318.1015625
305518.5,25418.19921875
376610.0,91284.6015625
512714.6875,139019.09375
280239.5,83342.0
327118.90625,88229.296875
355545.1875,109659.796875
479016.0,59624.6015625
331329.59375,67136.8984375
540597.3125,102184.6015625
458467.40625,138531.203125
524523.0,88699.796875
432746.59375,113286.703125
298853.5,22186.0
293254.59375,17579.80078125
444715.0,130567.1015625
482153.8125,173848.5
415368.5,107956.8984375
338600.0,97987.5
328385.3125,52412.8984375
401112.8125,103448.796875
488048.0,120743.6015625
365690.90625,86732.203125
438812.5,134490.5
381368.6875,23371.099609375
436357.59375,134224.0
311438.6875,25557.599609375
411404.40625,134866.40625
413004.0,204573.09375
331476.1875,46147.19921875
296978.1875,16751.400390625
412738.0,113649.796875
326338.40625,68950.5
296986.1875,128150.703125
521274.5,73951.296875
247572.90625,46246.3984375
377287.6875,184956.59375
494874.1875,90296.6015625
319818.59375,33653.6015625
327680.0,27891.400390625
264766.0,51067.6015625
280009.1875,20556.69921875
391156.8125,110102.8984375
529107.875,73763.3984375
542294.375,21841.400390625
346476.90625,84480.0
338306.3125,72737.0
483768.40625,125802.3984375
357675.09375,108135.3984375
308108.1875,46354.8984375
402891.6875,143959.40625
341525.6875,63143.69921875
473099.40625,108911.5
359353.8125,99128.8984375
418726.40625,98837.3984375
420085.90625,189625.40625
306047.90625,106975.703125
