Propidium Iodide PE-A,Alexa-647 APC-A
305819.0,107543.296875
520479.3125,231896.90625
309502.1875,100131.796875
503966.0,121837.203125
330700.0,117564.6015625
440094.1875,322441.0
344806.1875,127331.8984375
273595.0,19455.80078125
487282.5,296086.40625
304358.5,15441.2998046875
510642.6875,249783.796875
538941.5,315978.59375
298172.3125,31669.69921875
519105.90625,225321.203125
293840.59375,67263.296875
318580.5,94099.796875
337277.09375,120742.1015625
439733.1875,22928.099609375
567133.125,65732.703125
300458.59375,77563.6015625
342649.1875,154111.203125
535720.375,266757.0
478198.09375,232490.5
331385.09375,152744.09375
323691.1875,104657.8984375
435654.09375,262463.5
363887.6875,200852.59375
328606.8125,155973.90625
354837.6875,177166.703125
565789.0,20692.30078125
385826.6875,302066.6875
317631.3125,125531.203125
337714.8125,214705.40625
293089.09375,19686.19921875
299467.0,15727.7998046875
363677.59375,207644.703125
441561.59375,251113.40625
344738.09375,104311.203125
517021.6875,222381.5
540949.1875,186614.09375
424605.8125,245333.796875
305389.09375,131865.703125
339923.5,89020.703125
512770.59375,276771.09375
316737.0,126221.5
493818.90625,108687.3984375
346143.3125,133124.703125
482840.09375,203322.40625
296259.1875,32220.69921875
425060.6875,278086.5
276334.0,28796.30078125
480187.59375,112071.8984375
293428.09375,57687.69921875
371781.09375,219476.09375
538677.0,198428.90625
320082.8125,152399.796875
431313.3125,287579.6875
386206.0,299914.3125
473589.1875,246424.5
367302.0,160258.40625
396347.59375,275232.09375
349859.5,130585.3984375
342171.6875,161670.09375
258018.40625,62341.3984375
413201.59375,165530.203125
535391.3125,156522.203125
449159.09375,256578.296875
396390.6875,274108.5
521800.3125,318192.40625
327504.5,94560.796875
549715.625,75073.703125
425407.8125,254706.0
416295.5,335381.0
403733.8125,243821.203125
279314.8125,59400.69921875
575765.625,72644.296875
302401.09375,66765.6015625
326814.90625,98635.5
436575.6875,216737.796875
588984.875,188364.296875
333780.8125,160393.40625
283293.40625,92743.203125
322192.40625,104899.203125
382296.09375,245082.296875
503466.59375,196443.296875
470446.90625,371512.6875
276934.0,61523.69921875
493678.6875,224478.296875
337386.5,138958.296875
359072.6875,156595.796875
499864.0,315931.0
302212.90625,77511.796875
480771.90625,308205.1875
399527.0,264057.6875
346754.09375,197866.203125
386896.3125,251236.40625
449432.5,236921.09375
321239.1875,133272.296875
397636.59375,146107.5
358274.09375,217076.90625
371303.90625,268654.0
366741.40625,206744.40625
324636.90625,100211.1015625
264955.59375,24833.0
519779.5,252763.296875
546431.875,24284.19921875
453061.0,190957.0
339044.40625,158385.40625
465069.90625,241986.796875
400919.59375,251226.0
268276.5,28850.30078125
335887.09375,83189.203125
289764.3125,77949.8984375
489331.90625,274932.6875
420200.90625,229557.90625
430841.90625,269392.1875
520298.90625,235980.296875
480742.09375,221271.5
474824.90625,234591.203125
468285.0,249109.796875
487506.6875,244282.296875
413322.90625,223494.5
525669.6875,31367.80078125
375829.59375,233187.796875
301587.09375,96403.796875
511150.90625,301682.6875
384807.5,176712.203125
341573.3125,110010.8984375
490065.90625,247741.59375
413324.5,157570.09375
347030.09375,164493.0
279925.6875,97474.796875
481299.6875,226252.296875
320606.90625,101074.0
372670.90625,242511.90625
304110.59375,38617.8984375
297116.0,191003.296875
364104.09375,193104.296875
283428.90625,117625.796875
348050.09375,152320.5
350263.40625,188914.09375
495470.40625,276532.0
329437.1875,131672.296875
310775.59375,27179.80078125
503704.90625,233048.703125
370447.0,241127.796875
321285.0,128480.1015625
274963.59375,83467.5
333194.3125,131541.0
321151.5,68655.3984375
286032.0,12626.599609375
303543.3125,60058.5
316199.5,86710.796875
429488.6875,229155.296875
407309.09375,231457.796875
428293.40625,270551.8125
377298.8125,214481.90625
467830.8125,209622.90625
296609.6875,64200.30078125
333802.09375,219080.90625
472373.6875,282368.8125
485319.90625,238964.0
352261.09375,178032.296875
325942.09375,92302.296875
347902.90625,185983.203125
381766.3125,198813.40625
341303.5,151896.796875
302918.1875,96290.296875
455830.6875,313996.09375
299638.90625,57665.0
327248.40625,191433.40625
492076.90625,246723.09375
321167.59375,104461.796875
451803.40625,279099.3125
324266.3125,85520.8984375
331210.0,87101.296875
292040.0,24053.69921875
364527.8125,177390.40625
318551.1875,65270.30078125
566529.5,77193.296875
337585.09375,163149.296875
303232.59375,49413.5
417977.09375,256198.0
361185.0,159475.40625
392024.59375,291231.90625
454274.5,246799.0
466938.90625,289312.1875
442168.5,203546.703125
485824.40625,237604.59375
362072.1875,195935.796875
344728.8125,156912.90625
312203.59375,73396.5
303609.5,33971.3984375
301068.1875,34090.3984375
387954.59375,228551.5
286624.6875,201847.703125
517308.90625,255302.5
430074.59375,268515.5
398138.09375,252684.203125
339609.3125,144096.703125
435090.90625,244771.203125
300575.3125,17061.0
292708.0,39822.0
376882.59375,265199.3125
425495.40625,245047.0
310801.3125,256155.0
387528.09375,257975.296875
517846.40625,216693.40625
269095.5,134056.59375
309590.59375,73687.703125
325483.90625,110150.296875
526565.3125,277279.1875
425628.90625,235126.703125
270710.3125,70404.5
559539.6875,95218.0
401058.3125,164704.0
268409.5,107686.1015625
411825.3125,239051.796875
300157.90625,80144.8984375
292039.3125,33793.19921875
460750.09375,257062.703125
387096.90625,261466.703125
529497.375,232407.0
508074.09375,307662.3125
544344.3125,154392.296875
380298.6875,202952.5
321107.0,56243.6015625
486069.59375,164439.203125
383563.90625,207534.703125
535352.3125,249737.296875
309755.09375,96199.0
295584.09375,93136.796875
540332.125,240003.09375
459115.40625,359295.0
278269.8125,85706.0
469567.8125,260259.796875
420692.40625,296901.40625
279757.5,20609.599609375
434021.40625,297262.0
276660.3125,14185.2001953125
470661.40625,87604.703125
341620.8125,159693.5
453632.1875,206745.703125
376621.0,231412.09375
356796.59375,193090.0
320526.09375,92592.296875
452979.09375,247014.09375
340579.90625,190476.5
493158.3125,28182.5
492141.59375,243343.796875
392976.3125,236331.796875
481698.40625,199017.40625
290706.40625,35291.5
543273.6875,167869.796875
306550.09375,75094.703125
522831.0,298790.0
434912.40625,217650.203125
544995.875,177284.40625
373164.5,232613.09375
386342.09375,209553.5
322937.6875,122149.796875
305336.09375,106897.5
411713.8125,20832.19921875
379529.1875,252435.0
338973.6875,230833.90625
398972.0,313333.59375
392600.90625,195722.0
407951.09375,213062.796875
515597.90625,283642.0
401081.3125,226395.0
328309.1875,128682.0
417445.59375,241434.0
304556.3125,62217.1015625
302769.59375,130106.5
340904.90625,197972.203125
472298.09375,223029.703125
317116.3125,107008.703125
484572.8125,294287.8125
514927.3125,58582.5
262020.703125,36374.19921875
424567.40625,280318.5
327843.5,201313.0
373540.59375,221901.5
343972.59375,192414.296875
452190.59375,302303.59375
312698.40625,73069.5
527890.5,191060.59375
298871.3125,58191.19921875
301647.8125,32374.0
322304.6875,123544.5
311025.1875,22434.19921875
334719.5,112805.1015625
362129.40625,232631.203125
450246.90625,177352.90625
554982.0,249614.59375
287602.90625,103546.0
370094.8125,169180.59375
446195.59375,217741.203125
563721.8125,197999.0
472922.3125,245592.296875
516717.1875,249298.5
262897.1875,70523.8984375
293932.0,50947.6015625
413443.90625,236379.0
291987.5,16976.5
269229.59375,16788.0
452442.1875,288250.5
503500.59375,238523.296875
300517.09375,104669.1015625
497079.90625,222453.5
440474.09375,312971.5
467044.6875,232778.796875
328499.90625,242495.703125
448459.3125,201001.5
316965.6875,18696.0
412491.6875,298321.40625
342876.5,165057.59375
292746.59375,29026.0
437173.59375,85140.296875
300126.8125,35977.80078125
293835.0,30567.599609375
525737.8125,227213.703125
323829.3125,141090.203125
361964.8125,164875.796875
350387.6875,180296.5
278500.90625,48417.5
454493.90625,251402.0
396242.59375,215019.796875
537490.0,253611.59375
371520.5,200997.09375
520693.3125,247744.203125
240893.796875,36045.0
426924.3125,258117.796875
315535.0,199296.59375
248797.40625,19196.5
412408.1875,250049.5
358783.09375,237070.796875
354921.90625,170112.296875
371046.1875,205751.796875
356860.6875,142897.296875
291061.8125,36908.0
271154.59375,97206.0
365767.40625,143478.203125
328483.8125,89915.5
486453.8125,233060.296875
346915.40625,181259.5
405078.0,238137.0
516701.40625,96533.0
498922.90625,247069.703125
501559.90625,218894.0
353261.8125,204231.296875
415003.59375,294632.8125
370073.90625,238337.5
433588.09375,221830.0
275200.6875,177090.796875
396683.90625,220472.40625
500894.1875,223585.296875
498115.40625,277880.6875
348029.40625,198768.296875
431139.5,220160.796875
414857.5,265210.1875
293599.3125,52359.6015625
479174.1875,313788.8125
497594.40625,251843.0
466142.6875,230730.09375
510763.1875,376932.40625
299528.59375,21723.900390625
393371.8125,78989.6015625
268983.90625,38419.30078125
310920.3125,40135.3984375
550257.5,235499.90625
308716.8125,110053.5
294049.5,22533.400390625
554051.8125,22270.900390625
454637.40625,229323.0
492128.6875,278928.09375
503889.5,155866.09375
487518.8125,305539.59375
426000.1875,297696.1875
368216.8125,200582.40625
345934.90625,186887.0
377274.40625,156019.703125
267631.59375,178873.703125
312608.40625,118267.296875
543074.875,31280.099609375
343881.0,115388.3984375
304801.8125,28763.0
355467.1875,184363.5
456945.0,308012.90625
299686.8125,84625.1015625
345708.40625,175414.0
336389.90625,102471.703125
295911.09375,36832.19921875
385139.3125,236069.90625
365243.09375,211963.90625
383836.59375,212397.90625
483678.6875,211721.09375
323725.5,120743.8984375
327905.6875,89449.5
515021.90625,249105.203125
300766.40625,91851.6015625
345179.90625,164751.5
392149.1875,211217.203125
274842.0,108158.1015625
309095.8125,90941.6015625
546381.1875,80508.6015625
335677.6875,91294.203125
424474.5,223439.703125
312380.59375,21815.599609375
391537.3125,235533.203125
438185.6875,251001.703125
288722.90625,73478.5
395005.8125,144963.09375
557973.125,159551.0
295354.0,52988.8984375
404072.09375,217809.90625
303116.1875,151971.59375
318690.3125,150793.0
501337.90625,218807.0
304065.59375,45591.8984375
433418.8125,259287.09375
410275.40625,184296.296875
583236.5,41775.8984375
551364.8125,41178.3984375
311708.59375,102661.8984375
310837.1875,59634.6015625
568786.8125,264913.5
308120.3125,87870.0
355786.40625,191024.5
332887.6875,103218.6015625
367005.5,14930.099609375
342188.1875,204293.203125
427227.59375,231614.5
496730.8125,255218.0
333077.0,122107.796875
520593.8125,147320.203125
313173.59375,13474.7001953125
418862.5,230272.0
405977.40625,239565.796875
344393.40625,193810.09375
441803.3125,232020.703125
316624.5,53792.69921875
418569.90625,226541.203125
317521.59375,13311.900390625
497920.8125,297779.09375
358895.3125,197203.40625
510109.09375,282536.40625
492755.6875,181953.09375
493652.8125,256283.09375
255260.296875,171328.0
426433.3125,254355.40625
303861.40625,50217.5
458194.1875,248908.203125
301389.59375,112152.703125
299266.59375,43218.80078125
459812.40625,230578.5
550538.8125,48790.8984375
520491.0,217120.796875
335134.6875,141502.203125
383898.5,194204.09375
272659.5,161200.203125
299785.09375,65618.1015625
290625.1875,25204.19921875
381549.6875,253729.40625
566520.3125,22768.19921875
309847.3125,94520.8984375
505799.0,225053.703125
538255.8125,65749.0
359715.90625,157980.703125
426674.0,320880.8125
474704.90625,333144.0
312236.0,37832.1015625
304767.09375,55948.80078125
366506.3125,142143.09375
479973.59375,319469.5
295630.8125,49297.3984375
390982.3125,271759.90625
339729.0,125586.8984375
324235.3125,146477.0
428984.6875,195160.0
509056.8125,77574.6015625
384141.90625,208650.203125
348488.8125,101142.5
325614.0,97941.296875
559212.3125,55068.8984375
287036.1875,27735.69921875
347009.1875,176572.09375
339226.59375,159114.703125
311734.90625,102597.5
457789.0,264079.3125
297234.8125,14445.2001953125
512238.6875,279842.1875
283347.3125,165363.90625
519163.5,156436.09375
334151.0,120032.703125
355654.5,163956.0
348489.6875,197860.203125
309511.59375,40941.5
371710.8125,141379.5
319752.09375,37339.80078125
397130.3125,262565.1875
309411.90625,114631.703125
501148.3125,219021.59375
428327.59375,237393.0
307950.90625,45367.6015625
272853.59375,26050.69921875
534399.375,307650.3125
464256.3125,247889.203125
542896.625,21122.400390625
363905.6875,183035.09375
340518.3125,94622.5
468342.3125,305616.5
