DNA content,Total MTBP (GFP)
1956.26862423243,24561.30078125
1469.39786872128,17575.30078125
1100.25834790316,15228.7998046875
1768.28876848606,20879.099609375
1128.26504431519,46183.6015625
1990.1705528209,18118.0
1203.49229207357,15310.599609375
1457.05866619615,20463.80078125
1073.01979583332,28522.30078125
1110.67691113859,20304.69921875
1617.97783365613,18882.900390625
995.959448505835,15650.400390625
2018.35366515841,72627.796875
1278.69180778306,22343.599609375
1901.09833024415,31679.69921875
953.350993049658,13732.0
1124.27875719097,16893.900390625
1141.40992411616,17809.69921875
1618.70989292266,18745.80078125
1302.87682738518,17259.900390625
1961.33122669998,22994.69921875
1326.94323400709,18412.400390625
1336.65646766167,17422.900390625
1139.87174207904,14799.2998046875
1367.87384481847,25582.69921875
2004.09627356476,36244.8984375
2002.60186138793,27272.30078125
1270.69573368596,27968.80078125
1922.93781992796,24848.599609375
1066.10393515872,13733.7001953125
1373.62039311833,16325.599609375
970.666483432338,12840.0
1884.73218919783,15500.099609375
1284.61198766614,16250.2998046875
1079.3165301634,18140.30078125
1413.11584255615,16410.69921875
1008.04527588547,12698.400390625
1234.96816756563,49391.6015625
1113.16912020706,15711.599609375
1456.0700019471,19007.900390625
1092.02994828804,13120.2998046875
1455.86295825678,27318.30078125
998.071093674454,20698.599609375
958.910767670833,10421.2001953125
1174.03049839741,35786.3984375
1110.06179424691,17932.400390625
1823.67802314952,21478.900390625
1090.99317060477,16186.7998046875
1150.49590114681,13554.7998046875
1092.97216970821,40466.1015625
1156.56966534885,14094.7001953125
1478.85438601965,20199.099609375
1582.67215107476,49322.8984375
1037.14354583641,15140.599609375
1417.34403333576,19491.400390625
1099.80862094162,26158.30078125
1229.54449159404,17793.30078125
1065.81703653243,17792.19921875
1826.73768117021,27242.099609375
896.678657786773,9658.7001953125
1029.23690481264,15277.099609375
1055.04853716199,15154.0
1028.08853069167,15522.900390625
973.314838414648,12775.2998046875
960.127859358738,12953.2998046875
1845.75640939908,15030.2998046875
2087.70494838877,147431.09375
1014.5049499245,19010.19921875
1560.26766265992,20028.599609375
1194.18757711512,14261.400390625
1537.24527301114,21033.5
961.304967891815,36360.80078125
1405.44397727159,11079.900390625
928.022277021566,12332.2001953125
1584.26022852515,20250.400390625
1309.6301938456,15257.099609375
1044.39720291378,15911.400390625
1246.69180770432,37971.80078125
1995.569949328,29751.80078125
876.995975303015,9393.7998046875
951.281669883363,11052.099609375
1084.31932495925,19908.69921875
1162.36109724591,21086.19921875
1490.30438100121,26345.099609375
972.468064247084,13418.0
1100.85564500439,15082.599609375
1143.77182596694,16249.900390625
1973.16579503423,29092.80078125
1016.02709415021,9492.599609375
1019.23142659464,13739.2998046875
1719.20950162182,20478.400390625
1652.91598305942,25612.19921875
1410.5162692502,16775.0
1678.82885409328,24525.0
1997.72503023585,22442.400390625
1430.49192022637,14826.5
1061.72984484477,24926.69921875
850.741409787226,8975.099609375
1742.92842232991,22428.599609375
1103.61236658739,14419.900390625
1240.50121250113,15744.5
1248.77850516631,85986.5
1720.66649223869,20306.400390625
1702.3470794114,46465.0
1046.77692455502,18244.599609375
1940.90952409405,36201.8984375
1472.96138131702,7286.60009765625
962.580864888213,8175.2998046875
993.314323360544,68485.6015625
1698.37003630347,29887.599609375
1862.71583809378,21919.0
1567.51185297362,39302.80078125
1201.40915856968,14433.400390625
1854.0597635078,21758.099609375
