DNA content,Total MTBP (GFP)
990.811756538873,41334.3984375
1195.79770655619,56203.30078125
1840.40946990012,66722.703125
1208.00682461102,67864.6015625
2004.48340851234,67745.8984375
1117.13190748262,54686.3984375
2145.63886912885,105142.296875
1651.30618773941,24412.69921875
1234.63137352608,21632.400390625
1290.10181960979,72674.5
1360.73278654202,29334.599609375
1112.24716879852,65787.796875
1376.57235278048,65827.8984375
1881.12791383143,27742.69921875
1078.54526735788,55657.80078125
1057.42213325026,64206.19921875
929.16948171879,47451.8984375
1207.99178916283,19946.30078125
1369.90028911399,55109.6015625
1110.51085296631,50737.19921875
913.069301044969,32960.3984375
1706.92453808388,55920.30078125
1080.38504934841,62870.69921875
1824.30249543119,70789.8984375
932.51392226565,35752.5
1679.67741023989,60848.30078125
1168.08336608127,55700.0
1979.54661650051,63462.19921875
2058.36510890352,82563.796875
1002.01606115956,23205.599609375
930.437526870019,38059.5
2051.59292028943,128252.6015625
1081.82945473827,41900.80078125
2265.49522520703,35192.69921875
2114.0074045914,64820.3984375
1022.2258196328,39714.30078125
1404.69164799343,75882.6015625
1125.66513688817,73812.1015625
1147.19289161275,57859.3984375
1152.33490352151,50304.1015625
1024.97151522046,45334.8984375
1177.55024113284,39788.30078125
987.438470206217,4456.39990234375
2072.90561241798,103480.296875
974.876520300428,40156.6015625
1237.64258399148,62212.3984375
1482.68385898789,64181.80078125
837.990235981569,8487.099609375
1050.52409236611,41734.69921875
2071.83709323298,91308.6015625
1439.535463881,47735.3984375
1746.67837448326,64692.1015625
1014.17450418529,57732.8984375
1953.75892949457,95340.296875
1130.62794852919,44141.19921875
1094.93490825286,49958.8984375
2159.70581171204,99691.5
1795.04384736618,68163.6015625
1274.76432596733,64021.8984375
1129.33924355841,14748.900390625
1925.43437257035,56213.80078125
1036.57041682598,35102.1015625
1474.79225341232,56685.6015625
1693.56292508154,55036.6015625
1370.99620622682,64322.8984375
1154.78367685075,13465.2998046875
1487.88801741585,71411.703125
1431.1882285383,82490.796875
1155.26380882975,59463.1015625
998.278248738465,24300.900390625
1095.45947833431,63910.3984375
1275.71055684036,57389.30078125
1680.17068431435,71194.203125
1990.85327354261,50188.3984375
1109.76954968349,73272.6015625
1758.35824476165,57435.8984375
1051.76925022397,46237.30078125
1247.23597955526,32833.6015625
1254.34718968271,76645.6015625
1073.64983679951,70364.1015625
1837.17618029621,34208.8984375
1126.21855275541,64892.30078125
1334.2137085117,69051.8984375
1768.04107339877,89325.5
1859.45347995669,91435.1015625
990.242859728677,60268.30078125
1013.92146316087,56416.6015625
960.286789614836,36945.1015625
1193.5279107473,48158.8984375
1092.70387048821,34997.69921875
1841.40025024928,90012.6015625
1610.45465224816,54925.30078125
1936.56572742387,75318.5
1941.78826251074,88803.203125
1025.1126256861,49186.6015625
1369.33083543535,89286.1015625
1050.43632989813,40008.19921875
1022.59045709493,65314.19921875
1826.35566941239,48064.19921875
2075.32776743524,104799.0
