DNA content,Total MTBP (GFP)
1047.69564612654,7294.2998046875
1687.43369678171,18758.19921875
1739.01731244666,12470.900390625
1964.47508323056,16717.400390625
1015.99646638537,9875.900390625
991.505280508546,8568.099609375
1184.78618979346,10202.2998046875
1128.90800462946,8935.5
1142.26215559455,6258.2998046875
1505.07732140739,9903.099609375
964.919601011411,9446.7998046875
1010.2420105535,6836.89990234375
1816.24149047263,12412.2998046875
1870.0081418417,14764.5
1201.80943561272,13230.599609375
1945.81486691086,30818.30078125
1299.22020638433,12590.7001953125
2132.81552517186,16432.400390625
1064.72713359888,8534.7001953125
1515.08202000956,19093.5
2032.57118497093,16711.900390625
954.401915191593,8911.099609375
1033.65543322902,9241.5
1878.02593380841,15341.400390625
1302.99087404407,7804.39990234375
1771.82243293279,14722.7001953125
1312.18944987564,10314.400390625
1461.27627647518,10095.900390625
1920.77984330416,15821.400390625
1012.53764505854,7943.89990234375
1791.84697695901,13344.7998046875
1737.84900243512,15709.2001953125
1124.33321892554,8892.7998046875
1169.38922260037,10125.2001953125
1222.22556953413,11409.400390625
1778.54762184956,15668.900390625
1908.02733301422,16987.400390625
1863.69592656867,16111.400390625
1220.8509954481,11258.900390625
1140.68722023962,17500.099609375
1165.6809242072,12054.2001953125
1672.77936935573,12850.400390625
1428.91264129752,6885.89990234375
1133.57389401206,10464.400390625
1999.93178853601,16082.900390625
1755.61399703197,14100.400390625
1781.919905819,14868.599609375
1098.43616295571,7992.7998046875
1856.14434486967,11926.0
1118.69370074209,10732.2998046875
1750.41418217793,13934.400390625
1844.45278035379,16901.30078125
834.742077989997,6372.39990234375
1096.56686693724,10220.5
914.499896097232,8224.7001953125
1200.74982632294,8778.7998046875
1183.79719142334,10252.900390625
1120.67659792469,9957.900390625
1710.00669359002,12236.400390625
2135.89678968848,20478.900390625
921.25537865777,8796.7998046875
1552.15542580381,12785.400390625
1884.45420046677,14060.400390625
2068.31456615528,15326.900390625
1073.7178861243,7933.89990234375
1015.272982893,8761.900390625
1073.97137264349,10210.7998046875
1945.63421878514,17083.80078125
1166.53092821179,8604.5
1464.34952208609,11470.7998046875
1937.9068894028,18738.400390625
1802.16886783123,16091.099609375
1564.19659233363,14796.2998046875
1461.70684716199,8432.5
1662.20154174313,18557.099609375
1639.41426195464,11728.2998046875
891.222961879209,7239.39990234375
910.718536563215,6495.7001953125
1412.7928588542,10571.0
961.991363945307,7042.7001953125
1933.32118907724,17713.80078125
1018.57989050622,10021.099609375
1405.38338998405,14138.0
1069.75231450648,12010.099609375
1011.53394536131,7991.7998046875
1114.51239828611,8259.099609375
1684.7450245235,8342.2001953125
2276.96961102677,16450.900390625
1791.63525557369,13856.599609375
1651.32189142975,13835.0
1008.94517530332,7798.5
1740.05832233016,15345.5
930.765800822261,6686.2001953125
2012.98701251626,16034.2001953125
1146.14575617629,13255.400390625
1166.55186646557,7996.39990234375
1002.38994263799,7249.89990234375
1823.08284214841,16149.400390625
1830.29885491845,18232.099609375
1042.59072165666,10761.2998046875
1915.4973891719,12854.2998046875
1130.65078013571,10451.0
2081.5486562822,15774.2998046875
1939.88845010112,16974.900390625
2022.02409649686,11565.099609375
1896.84118230505,14919.5
1692.2160830444,14187.400390625
1809.72980492022,13797.400390625
1057.68898461229,7446.2001953125
1862.0707616794,14810.2998046875
1932.77657173153,16909.69921875
1158.37191440574,8796.400390625
2256.49222157567,18664.900390625
2033.83148965068,13805.400390625
1995.77977736058,12574.900390625
2349.71333686452,30564.900390625
1182.51561436874,12777.599609375
1219.73369458673,10411.7998046875
1845.01477199518,19458.80078125
1178.09953617354,10337.7998046875
1972.49866662917,19900.900390625
1236.55446303697,11704.599609375
1235.27611581939,10267.2998046875
1059.68658312201,12867.2001953125
1928.52432423481,18729.30078125
1561.55826098344,10962.7001953125
2008.81963177157,20202.400390625
1880.37525043219,21172.400390625
